seuil,ratees,deposes,vols_gaches,cout
1,20,0,0,9600000.0
2,20,0,0,9600000.0
3,20,0,0,9600000.0
4,19,1,5,9171213.59223301
5,14,6,31,7027524.27184466
6,12,8,46,6171165.04854369
7,7,13,80,4029417.475728155
8,4,16,120,2749126.213592233
9,2,18,143,1894708.7378640776
10,0,20,171,1041504.8543689321
11,0,20,187,1045388.3495145631
12,0,20,212,1051456.3106796117
13,0,20,233,1056553.3980582524
14,0,20,260,1063106.7961165048
15,0,20,277,1067233.009708738
16,0,20,289,1070145.6310679612
17,0,20,302,1073300.9708737864
18,0,20,331,1080339.8058252428
19,0,20,351,1085194.1747572816
20,0,20,364,1088349.5145631067
21,0,20,381,1092475.7281553398
22,0,20,402,1097572.8155339805
23,0,20,428,1103883.495145631
24,0,20,443,1107524.2718446602
25,0,20,453,1109951.4563106797
26,0,20,466,1113106.7961165048
27,0,20,484,1117475.7281553398
28,0,20,502,1121844.6601941749
29,0,20,528,1128155.3398058251
30,0,20,549,1133252.427184466
31,0,20,572,1138834.9514563107
32,0,20,608,1147572.8155339805
33,0,20,626,1151941.7475728155
34,0,20,641,1155582.5242718447
35,0,20,656,1159223.3009708738
36,0,20,662,1160679.6116504855
37,0,20,695,1168689.3203883495
38,0,20,709,1172087.3786407767
39,0,20,725,1175970.8737864078
40,0,20,736,1178640.7766990291
41,0,20,764,1185436.8932038834
42,0,20,787,1191019.417475728
43,0,20,807,1195873.7864077669
44,0,20,824,1200000.0
45,0,20,853,1207038.8349514562
46,0,20,872,1211650.485436893
47,0,20,890,1216019.417475728
48,0,20,901,1218689.3203883495
49,0,20,917,1222572.8155339805
50,0,20,935,1226941.7475728155
51,0,20,946,1229611.650485437
52,0,20,967,1234708.7378640776
53,0,20,1011,1245388.349514563
54,0,20,1028,1249514.563106796
55,0,20,1046,1253883.495145631
56,0,20,1057,1256553.3980582524
57,0,20,1063,1258009.7087378642
58,0,20,1113,1270145.6310679612
59,0,20,1129,1274029.1262135922
60,0,20,1147,1278398.0582524273
